Name,X,Y,Z
43357,337009.988,4475819.54,2197.426
43358,337022.616,4475817.432,2198.544
43359,337037.123,4475814.01,2200.123
43360,337051.172,4475811.721,2201.446
43361,337066.496,4475810.684,2202.529
43362,337082.871,4475810.774,2203.9
43363,337097.442,4475811.928,2204.888
43364,337116.622,4475813.632,2206.399
43365,337131.476,4475815.937,2207.275
43366,337145.448,4475818.262,2208.306
43367,337156.177,4475819.742,2209.174
43368,337171.411,4475822.897,2210.045
43369,337186.731,4475825.238,2211.333
43370,337199.633,4475826.644,2212.681
43371,337215.397,4475828.666,2214.218
43372,337231.183,4475831.349,2215.628
43373,337246.429,4475833.962,2216.817
43374,337261.446,4475835.844,2218.271
43375,337275.893,4475837.478,2219.595
43376,337291.525,4475839.811,2220.865
43377,337307.612,4475842.058,2222.115
43378,337321.37,4475844.463,2223.357
43379,337336.719,4475847.723,2224.642
43380,337351.794,4475850.588,2225.811
43381,337365.628,4475852.723,2227.067
43382,337381.337,4475855.009,2228.253
43383,337396.733,4475857.544,2229.735
43384,337413.251,4475860.633,2231.053
43385,337427.502,4475863.021,2232.209
43386,337441.004,4475865.203,2233.578
43387,337454.15,4475866.837,2234.637
43388,337468.926,4475868.581,2235.334
43389,337483.304,4475869.437,2236.186
43390,337496.529,4475870.988,2237.076
43391,337511.365,4475871.927,2237.443
43392,337527.064,4475874.241,2238.29
43393,337541.827,4475876.492,2239.145
43394,337557.423,4475875.934,2239.327
43395,337576.28,4475880.125,2238.983
43396,337591.403,4475883.586,2238.002
43397,337605.348,4475886.983,2238.476
43398,337619.327,4475890.607,2237.725
43399,337631.889,4475894.406,2236.89
43400,337649.256,4475899.423,2236.022
43401,337658.905,4475899.218,2235.594
43402,337673.232,4475904.435,2235.279
43403,337685.638,4475906.474,2234.701
43404,337700.549,4475909.902,2234.261
43405,337715.174,4475913.516,2233.683
43406,337728.498,4475917.825,2233.497
43407,337742.523,4475921.86,2232.688
43408,337754.89,4475925.869,2232.241
43409,337770.4,4475931.024,2231.546
43410,337786.694,4475936.52,2230.653
43411,337798.504,4475940.225,2229.841
43412,337812.188,4475945.283,2228.999
43413,337828.672,4475951.556,2228.25
43414,337842.378,4475956.266,2227.425
43415,337858.271,4475962.252,2226.647
43416,337868.478,4475967.483,2226.793
43417,337884.707,4475972.187,2225.675
43418,337900.515,4475975.686,2224.768
43419,337915.192,4475978.83,2224.632
43420,337933.427,4475981.084,2223.877
43421,337947.387,4475982.337,2223.183
43422,337961.474,4475983.295,2222.818
43423,337976.429,4475983.598,2222.246
43424,337990.409,4475984.509,2222.023
43425,338005.367,4475985.414,2221.455
43426,338023.042,4475986.713,2221.129
43427,338038.768,4475988.021,2220.692
43428,338053.425,4475988.44,2220.083
43429,338068.762,4475990.045,2219.691
43430,338081.778,4475992.071,2218.855
43431,338098.253,4475989.221,2217.782
43432,338113.825,4475986.707,2215.949
43433,338126.259,4475983.621,2215.027
43434,338140.441,4475978.037,2214.31
43435,338154.747,4475972.786,2213.722
43436,338169.121,4475966.934,2213.005
43437,338183.838,4475960.728,2212.335
