Label,Northing,Easting,Elevation,Source
43379,4475847.723,337336.719,2224.642,r319_05-19
43380,4475850.588,337351.794,2225.811,r319_05-19
43381,4475852.723,337365.628,2227.067,r319_05-19
43382,4475855.009,337381.337,2228.253,r319_05-19
43383,4475857.544,337396.733,2229.735,r319_05-19
43384,4475860.633,337413.251,2231.053,r319_05-19
43385,4475863.021,337427.502,2232.209,r319_05-19
43386,4475865.203,337441.004,2233.578,r319_05-19
43387,4475866.837,337454.15,2234.637,r319_05-19
43388,4475868.581,337468.926,2235.334,r319_05-19
43389,4475869.437,337483.304,2236.186,r319_05-19
43390,4475870.988,337496.529,2237.076,r319_05-19
43391,4475871.927,337511.365,2237.443,r319_05-19
43392,4475874.241,337527.064,2238.29,r319_05-19
43393,4475876.492,337541.827,2239.145,r319_05-19
43394,4475875.934,337557.423,2239.327,r319_05-19
43395,4475880.125,337576.28,2238.983,r319_05-19
43396,4475883.586,337591.403,2238.002,r319_05-19
43522,4476073.091,339362.939,2180.679,r419_05-19
43521,4476082.643,339356.101,2180.693,r419_05-19
43520,4476088.339,339344.959,2181.324,r419_05-19
43519,4476091.528,339331.539,2181.14,r419_05-19
43518,4476093.376,339315.69,2181.653,r419_05-19
43517,4476095.372,339300.219,2181.42,r419_05-19
43516,4476095.993,339286.724,2181.095,r419_05-19
43515,4476095.557,339273.624,2180.603,r419_05-19
43514,4476095.154,339257.956,2180.686,r419_05-19
43513,4476096.371,339242.454,2180.58,r419_05-19
43146.0,4476891.924,334710.426,2092.175,r120_05-20
43146.2,4476891.925,334710.427,2092.207,r120_05-20
43147.0,4476891.981,334723.782,2092.432,r120_05-20
43148.0,4476891.643,334737.901,2092.792,r120_05-20
43149.0,4476891.09,334760.681,2094.144,r120_05-20
43150.0,4476890.765,334770.929,2094.868,r120_05-20
43151.0,4476890.855,334784.462,2095.361,r120_05-20
43152.0,4476890.737,334798.602,2095.516,r120_05-20
43153.0,4476891.186,334814.649,2095.808,r120_05-20
43154.0,4476890.859,334829.716,2096.5,r120_05-20
43155.0,4476891.162,334843.93,2096.939,r120_05-20
43156.0,4476890.653,334860.921,2097.375,r120_05-20
43157.0,4476891.854,334874.883,2097.568,r120_05-20
43158.0,4476892.618,334889.624,2097.723,r120_05-20
43159.0,4476891.497,334902.098,2098.078,r120_05-20
43160.0,4476892.005,334918.677,2098.165,r120_05-20
43161.0,4476891.613,334938.122,2098.001,r120_05-20
43162.0,4476892.066,334952.745,2097.863,r120_05-20
43163.0,4476889.123,334967.784,2099.27,r120_05-20
43164.0,4476892.364,334982.075,2099.059,r120_05-20
43165.0,4476890.585,334996.655,2099.895,r120_05-20
43166.0,4476890.456,335012.099,2100.243,r120_05-20
43167.0,4476890.642,335027.698,2099.985,r120_05-20
43168.0,4476891.124,335043.002,2099.529,r120_05-20
43169.0,4476889.542,335056.382,2099.644,r120_05-20
43170.0,4476890.286,335071.689,2099.4,r120_05-20
43171.0,4476890.609,335086.44,2099.505,r120_05-20
43172.0,4476890.528,335099.866,2099.423,r120_05-20
43173.0,4476889.355,335115.022,2099.523,r120_05-20
43174.0,4476889.274,335129.178,2099.269,r120_05-20
43175.0,4476889.064,335144.068,2098.843,r120_05-20
43176.0,4476888.871,335156.507,2098.364,r120_05-20
43177.0,4476888.635,335171.763,2097.703,r120_05-20
43178.0,4476890.761,335186.685,2095.364,r120_05-20
43179.0,4476891.568,335201.578,2094.054,r120_05-20
43180.0,4476889.954,335216.709,2094.144,r120_05-20
43181.0,4476886.977,335231.649,2095.732,r120_05-20
43182.0,4476886.935,335248.078,2095.949,r120_05-20
43183.0,4476887.498,335263.602,2097.128,r120_05-20
43184.0,4476887.213,335280.556,2097.88,r120_05-20
43185.0,4476885.961,335299.375,2098.119,r120_05-20
43186.0,4476885.133,335313.232,2098.954,r120_05-20
43187.0,4476883.233,335330.332,2100.139,r120_05-20
43188.0,4476883.345,335345.252,2100.889,r120_05-20
43189.0,4476879.816,335356.079,2101.611,r120_05-20
43190.0,4476876.794,335370.853,2102.878,r120_05-20
43191.0,4476874.331,335383.644,2103.711,r120_05-20
43192.0,4476871.154,335399.307,2104.379,r120_05-20
43193.0,4476868.176,335414.923,2104.951,r120_05-20
43194.0,4476864.486,335430.941,2105.135,r120_05-20
43195.0,4476862.178,335439.479,2105.265,r120_05-20
43196.0,4476858.049,335454.431,2105.408,r120_05-20
43197.0,4476854.282,335469.517,2105.408,r120_05-20
43198.0,4476850.286,335483.359,2105.043,r120_05-20
43199.0,4476846.111,335499.199,2104.817,r120_05-20
43200.0,4476841.665,335513.56,2104.049,r120_05-20
43201.0,4476836.247,335527.253,2103.554,r120_05-20
43202.0,4476831.628,335542.568,2103.453,r120_05-20
43203.0,4476821.52,335556.677,2103.412,r120_05-20
43204.0,4476808.364,335567.116,2103.979,r120_05-20
43205.0,4476800.306,335573.919,2104.227,r120_05-20
43206.0,4476785.297,335582.777,2104.557,r120_05-20
43207.0,4476772.091,335587.813,2104.865,r120_05-20
43208.0,4476755.398,335592.576,2105.569,r120_05-20
43209.0,4476740.009,335594.652,2106.46,r120_05-20
43230,4476424.665,335606.467,2122.304,r220_05-20
43229,4476441.483,335607.497,2121.883,r220_05-20
43228,4476455.476,335608.38,2121.463,r220_05-20
43227,4476469.625,335609.174,2121.138,r220_05-20
43226,4476484.493,335609.994,2120.789,r220_05-20
43225,4476497.567,335613.336,2119.213,r220_05-20
43224,4476514.422,335613.403,2119.721,r220_05-20
43223,4476528.399,335612.236,2120.196,r220_05-20
43222,4476545.892,335610.339,2120.387,r220_05-20
43221,4476558.258,335606.202,2121.803,r220_05-20
43220,4476573.076,335604.204,2122.648,r220_05-20
43219,4476589.029,335600.341,2123.463,r220_05-20
43218,4476604.771,335597.67,2123.945,r220_05-20
43217,4476620.175,335595.808,2124.094,r220_05-20
43216,4476634.731,335594.21,2124.392,r220_05-20
43215,4476651.118,335593.28,2124.511,r220_05-20
43214,4476665.866,335592.755,2123.901,r220_05-20
43213,4476677.756,335593.231,2123.614,r220_05-20
43212,4476693.306,335594.056,2122.878,r220_05-20
43210,4476723.19,335596.152,2120.554,r220_05-20
43191,4477135.207,338908.218,2167.256,r220_05-20
43193,4477163.513,338887.112,2167.055,r220_05-20
43195,4477184.81,338867.427,2165.754,r220_05-20
43197,4477208.244,338841.539,2164.77,r220_05-20
43199,4477227.255,338823.368,2164.148,r220_05-20
43201,4477250.85,338813.263,2163.578,r220_05-20
43203,4477278.799,338805.598,2162.647,r220_05-20
43205,4477308.667,338797.958,2161.108,r220_05-20
43207,4477346.34,338791.687,2159.737,r220_05-20
43209,4477371.476,338786.839,2158.12,r220_05-20
45211,4477395.878,338773.48,2157.131,r220_05-20
45213,4477420.461,338759.406,2156.304,r220_05-20
45215,4477450.816,338755.598,2155.724,r220_05-20
45217,4477480.41,338758.942,2156.245,r220_05-20
45219,4477511.066,338747.222,2155.817,r220_05-20
45221,4477520.928,338724.793,2155.427,r220_05-20
45223,4477547.27,338708.117,2154.089,r220_05-20
45225,4477571.908,338704.375,2152.518,r220_05-20
43396,4475883.857,337590.947,2239.065,r320_05-20
43397,4475886.983,337605.348,2238.476,r320_05-20
43398,4475890.607,337619.327,2237.725,r320_05-20
43399,4475894.406,337631.889,2236.89,r320_05-20
43400,4475899.423,337649.256,2236.022,r320_05-20
43401,4475899.218,337658.905,2235.594,r320_05-20
43402,4475904.435,337673.232,2235.279,r320_05-20
43403,4475906.474,337685.638,2234.701,r320_05-20
43404,4475909.902,337700.549,2234.261,r320_05-20
43405,4475913.516,337715.174,2233.683,r320_05-20
43406,4475917.825,337728.498,2233.497,r320_05-20
43407,4475921.86,337742.523,2232.688,r320_05-20
43408,4475925.869,337754.89,2232.241,r320_05-20
43409,4475931.024,337770.4,2231.546,r320_05-20
43410,4475936.52,337786.694,2230.653,r320_05-20
43411,4475940.225,337798.504,2229.841,r320_05-20
43412,4475945.283,337812.188,2228.999,r320_05-20
43413,4475951.556,337828.672,2228.25,r320_05-20
43414,4475956.266,337842.378,2227.425,r320_05-20
43415,4475962.252,337858.271,2226.647,r320_05-20
43416,4475967.483,337868.478,2226.793,r320_05-20
43417,4475972.187,337884.707,2225.675,r320_05-20
43418,4475975.686,337900.515,2224.768,r320_05-20
43419,4475978.83,337915.192,2224.632,r320_05-20
43420,4475981.084,337933.427,2223.877,r320_05-20
43421,4475982.337,337947.387,2223.183,r320_05-20
43422,4475983.295,337961.474,2222.818,r320_05-20
43423,4475983.598,337976.429,2222.246,r320_05-20
43424,4475984.509,337990.409,2222.023,r320_05-20
43425,4475985.414,338005.367,2221.455,r320_05-20
43426,4475986.713,338023.042,2221.129,r320_05-20
43427,4475988.021,338038.768,2220.692,r320_05-20
43428,4475988.44,338053.425,2220.083,r320_05-20
43429,4475990.045,338068.762,2219.691,r320_05-20
43430,4475992.071,338081.778,2218.855,r320_05-20
43431,4475989.221,338098.253,2217.782,r320_05-20
43432,4475986.707,338113.825,2215.949,r320_05-20
43433,4475983.621,338126.259,2215.027,r320_05-20
43434,4475978.037,338140.441,2214.31,r320_05-20
43435,4475972.786,338154.747,2213.722,r320_05-20
43436,4475966.934,338169.121,2213.005,r320_05-20
43437,4475960.728,338183.838,2212.335,r320_05-20
43438,4475954.516,338197.881,2212.034,r320_05-20
43522,4476073.467,339362.387,2181.137,r420_05-20
43521,4476082.941,339355.802,2181.097,r420_05-20
43520,4476088.575,339344.278,2181.757,r420_05-20
43519,4476092.082,339331.025,2182.044,r420_05-20
43518,4476093.67,339315.166,2182.1,r420_05-20
43517,4476095.77,339299.781,2181.861,r420_05-20
43516,4476096.283,339286.283,2181.552,r420_05-20
43515,4476095.742,339272.973,2181.615,r420_05-20
43514,4476095.502,339257.483,2181.669,r420_05-20
43513,4476096.647,339241.875,2181.59,r420_05-20
43512,4476095.888,339228.242,2181.666,r420_05-20
43511,4476096.353,339210.575,2181.293,r420_05-20
43510,4476095.976,339195.692,2180.908,r420_05-20
43509,4476096.064,339181.374,2180.82,r420_05-20
43508,4476096.729,339167.814,2180.804,r420_05-20
43507,4476097.944,339150.254,2180.844,r420_05-20
43506,4476097.437,339141.5,2180.708,r420_05-20
43505,4476097.694,339119.697,2180.669,r420_05-20
43504,4476099.149,339106.328,2181.314,r420_05-20
43503,4476100.191,339074.284,2181.767,r420_05-20
43502,4476100.051,339063.128,2182.049,r420_05-20
43501,4476099.848,339044.112,2183.0,r420_05-20
43500,4476098.863,339033.383,2183.517,r420_05-20
43498,4476093.352,339016.449,2184.562,r420_05-20
43497,4476086.137,339002.232,2185.462,r420_05-20
43496,4476077.03,338988.086,2186.124,r420_05-20
43495,4476065.175,338975.185,2186.305,r420_05-20
43494,4476056.145,338967.482,2186.475,r420_05-20
43493,4476044.798,338957.833,2186.622,r420_05-20
43492,4476034.182,338947.946,2186.789,r420_05-20
43491,4476022.059,338937.125,2187.555,r420_05-20
43490,4476014.842,338923.135,2190.938,r420_05-20
43489,4476006.606,338914.303,2192.761,r420_05-20
43488,4475998.193,338901.941,2193.58,r420_05-20
43487,4475993.0,338890.248,2193.3,r420_05-20
43486,4475986.381,338877.952,2192.268,r420_05-20
43485,4475980.697,338864.091,2192.69,r420_05-20
